,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
MSSubClass,1168.0,56.849,42.532,20.0,20.0,50.0,70.0,190.0,1.439,1.698
LotFrontage,951.0,70.344,24.897,21.0,59.0,70.0,80.0,313.0,2.407,19.454
LotArea,1168.0,10689.642,10759.366,1300.0,7587.25,9600.0,11700.0,215245.0,11.958,186.444
OverallQual,1168.0,6.122,1.368,1.0,5.0,6.0,7.0,10.0,0.197,0.119
OverallCond,1168.0,5.585,1.116,1.0,5.0,5.0,6.0,9.0,0.733,1.236
YearBuilt,1168.0,1970.966,30.675,1872.0,1953.0,1972.0,2001.0,2010.0,-0.623,-0.435
YearRemodAdd,1168.0,1984.897,20.734,1950.0,1966.0,1994.0,2004.0,2010.0,-0.508,-1.28
MasVnrArea,1162.0,103.772,173.032,0.0,0.0,0.0,166.0,1378.0,2.286,6.676
BsmtFinSF1,1168.0,446.024,459.071,0.0,0.0,384.5,721.0,5644.0,1.862,13.475
BsmtFinSF2,1168.0,45.152,158.217,0.0,0.0,0.0,0.0,1127.0,4.218,18.974
BsmtUnfSF,1168.0,570.595,446.365,0.0,222.5,480.0,810.25,2336.0,0.911,0.401
TotalBsmtSF,1168.0,1061.771,440.676,0.0,796.0,997.5,1299.25,6110.0,1.724,15.678
1stFlrSF,1168.0,1169.354,386.675,334.0,888.0,1095.0,1396.75,4692.0,1.422,6.7
2ndFlrSF,1168.0,352.351,439.571,0.0,0.0,0.0,728.0,2065.0,0.801,-0.57
LowQualFinSF,1168.0,5.696,47.887,0.0,0.0,0.0,0.0,572.0,9.199,87.124
GrLivArea,1168.0,1527.402,524.433,334.0,1145.75,1473.0,1792.0,5642.0,1.425,5.452
BsmtFullBath,1168.0,0.426,0.52,0.0,0.0,0.0,1.0,3.0,0.612,-0.753
BsmtHalfBath,1168.0,0.057,0.236,0.0,0.0,0.0,0.0,2.0,4.006,15.111
FullBath,1168.0,1.577,0.547,0.0,1.0,2.0,2.0,3.0,0.038,-0.906
HalfBath,1168.0,0.382,0.5,0.0,0.0,0.0,1.0,2.0,0.651,-1.172
BedroomAbvGr,1168.0,2.89,0.805,0.0,2.0,3.0,3.0,8.0,0.29,2.535
KitchenAbvGr,1168.0,1.048,0.225,0.0,1.0,1.0,1.0,3.0,4.445,21.596
TotRmsAbvGrd,1168.0,6.562,1.62,2.0,5.0,6.0,7.0,14.0,0.687,0.942
Fireplaces,1168.0,0.618,0.645,0.0,0.0,1.0,1.0,3.0,0.638,-0.229
GarageYrBlt,1104.0,1978.662,24.729,1900.0,1961.75,1980.0,2002.0,2010.0,-0.666,-0.369
GarageCars,1168.0,1.782,0.74,0.0,1.0,2.0,2.0,4.0,-0.39,0.335
GarageArea,1168.0,476.274,211.095,0.0,341.0,482.0,576.0,1418.0,0.109,0.879
WoodDeckSF,1168.0,95.947,129.686,0.0,0.0,0.0,168.0,857.0,1.587,3.117
OpenPorchSF,1168.0,49.579,69.434,0.0,0.0,27.0,74.0,547.0,2.332,8.154
EnclosedPorch,1168.0,21.839,62.083,0.0,0.0,0.0,0.0,552.0,3.164,11.042
3SsnPorch,1168.0,3.812,31.52,0.0,0.0,0.0,0.0,508.0,9.834,111.79
ScreenPorch,1168.0,15.408,55.881,0.0,0.0,0.0,0.0,480.0,4.09,18.506
PoolArea,1168.0,2.955,41.649,0.0,0.0,0.0,0.0,738.0,14.396,211.049
MiscVal,1168.0,51.267,553.04,0.0,0.0,0.0,0.0,15500.0,22.054,566.356
MoSold,1168.0,6.356,2.671,1.0,5.0,6.0,8.0,12.0,0.242,-0.371
YrSold,1168.0,2007.818,1.323,2006.0,2007.0,2008.0,2009.0,2010.0,0.083,-1.187
SalePrice,1168.0,181441.542,77263.584,34900.0,130000.0,165000.0,214925.0,745000.0,1.743,5.475
