variable,dtype,n_unicos,n_nulos,pct_nulos
PoolQC,str,3,1162,99.49
MiscFeature,str,4,1122,96.06
Alley,str,2,1094,93.66
Fence,str,4,935,80.05
MasVnrType,str,3,683,58.48
FireplaceQu,str,5,547,46.83
LotFrontage,float64,107,217,18.58
GarageYrBlt,float64,94,64,5.48
GarageCond,str,5,64,5.48
GarageType,str,6,64,5.48
GarageFinish,str,3,64,5.48
GarageQual,str,5,64,5.48
BsmtQual,str,4,28,2.4
BsmtCond,str,4,28,2.4
BsmtFinType2,str,6,28,2.4
BsmtFinType1,str,6,28,2.4
BsmtExposure,str,4,28,2.4
MasVnrArea,float64,286,6,0.51
Electrical,str,4,1,0.09
Id,int64,1168,0,0.0
Functional,str,7,0,0.0
Fireplaces,int64,4,0,0.0
KitchenQual,str,4,0,0.0
KitchenAbvGr,int64,4,0,0.0
BedroomAbvGr,int64,8,0,0.0
HalfBath,int64,3,0,0.0
FullBath,int64,4,0,0.0
BsmtHalfBath,int64,3,0,0.0
TotRmsAbvGrd,int64,12,0,0.0
GarageCars,int64,5,0,0.0
GrLivArea,int64,734,0,0.0
GarageArea,int64,394,0,0.0
PavedDrive,str,3,0,0.0
WoodDeckSF,int64,244,0,0.0
OpenPorchSF,int64,188,0,0.0
EnclosedPorch,int64,98,0,0.0
3SsnPorch,int64,17,0,0.0
ScreenPorch,int64,66,0,0.0
PoolArea,int64,7,0,0.0
MiscVal,int64,19,0,0.0
MoSold,int64,12,0,0.0
YrSold,int64,5,0,0.0
SaleType,str,9,0,0.0
SaleCondition,str,6,0,0.0
BsmtFullBath,int64,4,0,0.0
HeatingQC,str,5,0,0.0
LowQualFinSF,int64,20,0,0.0
LandSlope,str,3,0,0.0
OverallQual,int64,10,0,0.0
HouseStyle,str,8,0,0.0
BldgType,str,5,0,0.0
Condition2,str,8,0,0.0
Condition1,str,9,0,0.0
Neighborhood,str,25,0,0.0
LotConfig,str,5,0,0.0
YearBuilt,int64,111,0,0.0
Utilities,str,2,0,0.0
LandContour,str,4,0,0.0
LotShape,str,4,0,0.0
Street,str,2,0,0.0
LotArea,int64,890,0,0.0
MSZoning,str,5,0,0.0
OverallCond,int64,9,0,0.0
YearRemodAdd,int64,61,0,0.0
2ndFlrSF,int64,361,0,0.0
BsmtFinSF2,int64,118,0,0.0
1stFlrSF,int64,657,0,0.0
CentralAir,str,2,0,0.0
MSSubClass,int64,15,0,0.0
Heating,str,6,0,0.0
TotalBsmtSF,int64,630,0,0.0
BsmtUnfSF,int64,685,0,0.0
BsmtFinSF1,int64,549,0,0.0
RoofStyle,str,6,0,0.0
Foundation,str,6,0,0.0
ExterCond,str,5,0,0.0
ExterQual,str,4,0,0.0
Exterior2nd,str,16,0,0.0
Exterior1st,str,15,0,0.0
RoofMatl,str,7,0,0.0
SalePrice,int64,571,0,0.0
